int_pos,var_name,x,label,length,decimal_places,fin_pos,col_type,CHAR,
331,M4670,$1.00 ,,1,0,331,c,TRUE,M4670
332,V4690,2,,2,0,333,i,FALSE,V4690
334,M0463,$1.00 ,,1,0,334,c,TRUE,M0463
335,P001,11.8,,11,8,345,d,FALSE,P001
346,ESTR,$2.00 ,,2,0,347,c,TRUE,ESTR
348,ESTRP,$2.00 ,,2,0,349,c,TRUE,ESTRP
350,V4621,2,,2,0,351,i,FALSE,V4621
352,M4621,$1.00 ,,1,0,352,c,TRUE,M4621
353,V4622,2,,2,0,354,i,FALSE,V4622
355,M4622,$1.00 ,,1,0,355,c,TRUE,M4622
356,V4631,2,,2,0,357,i,FALSE,V4631
358,M4631,$1.00 ,,1,0,358,c,TRUE,M4631
359,V4632,2,,2,0,360,i,FALSE,V4632
361,M4632,$1.00 ,,1,0,361,c,TRUE,M4632
362,V0464,$1.00 ,,1,0,362,c,TRUE,V0464
363,M0464,$1.00 ,,1,0,363,c,TRUE,M0464
364,V4671,2,,2,0,365,i,FALSE,V4671
366,M4671,$1.00 ,,1,0,366,c,TRUE,M4671
367,V4672,2,,2,0,368,i,FALSE,V4672
369,M4672,$1.00 ,,1,0,369,c,TRUE,M4672
370,V4354,$3.00 ,,3,0,372,c,TRUE,V4354
373,V4219,$3.00 ,,3,0,375,c,TRUE,V4219
376,V4239,$3.00 ,,3,0,378,c,TRUE,V4239
379,V4269,$3.00 ,,3,0,381,c,TRUE,V4269
382,V4279,$3.00 ,,3,0,384,c,TRUE,V4279
385,V4451,$3.00 ,,3,0,387,c,TRUE,V4451
388,V4461,$3.00 ,,3,0,390,c,TRUE,V4461
